Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,1,106,2,Some Random Commen with Id 0
1,1,5,171,2,Some Random Commen with Id 1
2,1,5,165,1,Some Random Commen with Id 2
3,1,5,141,6,Some Random Commen with Id 3
4,2,7,130,5,Some Random Commen with Id 4
5,2,7,47,1,Some Random Commen with Id 5
6,2,7,51,8,Some Random Commen with Id 6
7,2,7,190,9,Some Random Commen with Id 7
8,2,7,107,8,Some Random Commen with Id 8
9,2,7,179,4,Some Random Commen with Id 9
10,3,0,23,5,Some Random Commen with Id 10
11,3,0,186,1,Some Random Commen with Id 11
12,4,1,54,5,Some Random Commen with Id 12
13,4,1,53,5,Some Random Commen with Id 13
14,4,1,12,9,Some Random Commen with Id 14
15,4,1,146,0,Some Random Commen with Id 15
16,4,1,59,5,Some Random Commen with Id 16
17,4,1,53,4,Some Random Commen with Id 17
18,5,5,85,8,Some Random Commen with Id 18
19,5,5,49,5,Some Random Commen with Id 19
20,5,5,173,1,Some Random Commen with Id 20
21,5,5,173,0,Some Random Commen with Id 21
22,5,5,133,1,Some Random Commen with Id 22
23,6,5,150,5,Some Random Commen with Id 23
24,6,5,41,3,Some Random Commen with Id 24
25,6,5,195,9,Some Random Commen with Id 25
26,6,5,63,4,Some Random Commen with Id 26
27,6,5,91,8,Some Random Commen with Id 27
28,6,5,175,4,Some Random Commen with Id 28
29,6,5,122,7,Some Random Commen with Id 29
30,7,5,111,2,Some Random Commen with Id 30
31,7,5,8,4,Some Random Commen with Id 31
32,7,5,33,5,Some Random Commen with Id 32
33,7,5,111,6,Some Random Commen with Id 33
34,7,5,18,4,Some Random Commen with Id 34
35,7,5,27,2,Some Random Commen with Id 35
36,7,5,30,6,Some Random Commen with Id 36
37,7,5,180,4,Some Random Commen with Id 37
38,7,5,180,7,Some Random Commen with Id 38
39,8,1,107,0,Some Random Commen with Id 39
40,8,1,99,8,Some Random Commen with Id 40
41,8,1,88,7,Some Random Commen with Id 41
42,9,6,51,1,Some Random Commen with Id 42
43,9,6,146,7,Some Random Commen with Id 43
44,9,6,18,2,Some Random Commen with Id 44
45,9,6,184,8,Some Random Commen with Id 45
46,9,6,189,9,Some Random Commen with Id 46
47,10,3,161,1,Some Random Commen with Id 47
48,10,3,178,9,Some Random Commen with Id 48
49,10,3,104,4,Some Random Commen with Id 49
50,10,3,148,3,Some Random Commen with Id 50
51,10,3,5,4,Some Random Commen with Id 51
52,11,7,21,0,Some Random Commen with Id 52
53,11,7,157,4,Some Random Commen with Id 53
54,11,7,1,8,Some Random Commen with Id 54
55,13,8,154,9,Some Random Commen with Id 55
56,13,8,97,8,Some Random Commen with Id 56
57,13,8,165,7,Some Random Commen with Id 57
58,13,8,175,6,Some Random Commen with Id 58
59,13,8,188,9,Some Random Commen with Id 59
60,13,8,125,5,Some Random Commen with Id 60
61,14,6,16,4,Some Random Commen with Id 61
62,14,6,37,7,Some Random Commen with Id 62
63,14,6,188,4,Some Random Commen with Id 63
64,14,6,111,3,Some Random Commen with Id 64
65,14,6,63,2,Some Random Commen with Id 65
66,14,6,65,9,Some Random Commen with Id 66
67,15,3,90,8,Some Random Commen with Id 67
68,15,3,133,7,Some Random Commen with Id 68
69,15,3,53,4,Some Random Commen with Id 69
70,15,3,113,9,Some Random Commen with Id 70
71,15,3,113,9,Some Random Commen with Id 71
72,16,5,99,2,Some Random Commen with Id 72
73,16,5,91,5,Some Random Commen with Id 73
74,16,5,179,5,Some Random Commen with Id 74
75,16,5,35,2,Some Random Commen with Id 75
76,16,5,68,6,Some Random Commen with Id 76
77,17,2,172,7,Some Random Commen with Id 77
78,17,2,131,2,Some Random Commen with Id 78
79,17,2,123,5,Some Random Commen with Id 79
80,17,2,77,9,Some Random Commen with Id 80
81,17,2,81,7,Some Random Commen with Id 81
82,17,2,30,4,Some Random Commen with Id 82
83,18,2,158,3,Some Random Commen with Id 83
84,18,2,153,8,Some Random Commen with Id 84
85,18,2,137,6,Some Random Commen with Id 85
86,18,2,82,2,Some Random Commen with Id 86
87,18,2,70,9,Some Random Commen with Id 87
88,18,2,125,3,Some Random Commen with Id 88
89,18,2,147,6,Some Random Commen with Id 89
90,18,2,19,0,Some Random Commen with Id 90
91,18,2,22,8,Some Random Commen with Id 91
92,20,9,16,1,Some Random Commen with Id 92
93,20,9,9,2,Some Random Commen with Id 93
94,20,9,30,1,Some Random Commen with Id 94
95,20,9,191,1,Some Random Commen with Id 95
96,20,9,30,0,Some Random Commen with Id 96
97,20,9,35,2,Some Random Commen with Id 97
98,20,9,192,9,Some Random Commen with Id 98
99,20,9,73,7,Some Random Commen with Id 99
100,20,9,102,8,Some Random Commen with Id 100
101,21,9,135,0,Some Random Commen with Id 101
102,21,9,190,4,Some Random Commen with Id 102
103,22,7,65,0,Some Random Commen with Id 103
104,22,7,20,2,Some Random Commen with Id 104
105,22,7,77,3,Some Random Commen with Id 105
106,22,7,195,9,Some Random Commen with Id 106
107,22,7,120,6,Some Random Commen with Id 107
108,22,7,158,4,Some Random Commen with Id 108
109,22,7,28,8,Some Random Commen with Id 109
110,22,7,59,8,Some Random Commen with Id 110
111,22,7,172,2,Some Random Commen with Id 111
112,23,2,167,1,Some Random Commen with Id 112
113,23,2,129,9,Some Random Commen with Id 113
114,23,2,189,2,Some Random Commen with Id 114
115,23,2,14,3,Some Random Commen with Id 115
116,23,2,22,3,Some Random Commen with Id 116
117,24,5,2,2,Some Random Commen with Id 117
118,25,5,59,4,Some Random Commen with Id 118
119,25,5,104,8,Some Random Commen with Id 119
120,25,5,63,3,Some Random Commen with Id 120
121,25,5,5,3,Some Random Commen with Id 121
122,25,5,121,7,Some Random Commen with Id 122
123,25,5,180,4,Some Random Commen with Id 123
124,25,5,103,7,Some Random Commen with Id 124
125,25,5,87,4,Some Random Commen with Id 125
126,25,5,190,8,Some Random Commen with Id 126
127,26,9,89,7,Some Random Commen with Id 127
128,26,9,182,8,Some Random Commen with Id 128
129,26,9,41,4,Some Random Commen with Id 129
130,28,6,12,8,Some Random Commen with Id 130
